DEPT,SP,GR,CALI,SFL_A,ILM,ILD,LLD,LLS,RHOB,NPHI,DT,well_name,DEPTH
182.0,-56.69049,79.6367,,472.82971,27.2323,46.9769,,,,,158.8719,SB20,182.0
182.5,-57.0212,79.4286,,499.00989,28.172,47.9538,,,,,156.6651,SB20,182.5
183.0,-56.9204,78.9488,,461.76581,29.3176,50.3852,,,,,153.4198,SB20,183.0
183.5,-56.6469,79.1584,,388.50021,30.1446,53.6787,,,,,149.1526,SB20,183.5
184.0,-55.69411,82.0699,,367.65579,30.9767,51.1701,,,,,146.71741,SB20,184.0
184.5,-54.46571,83.0553,,522.88928,30.8625,47.7753,,,,,144.2822,SB20,184.5
185.0,-52.97671,82.9995,,789.16949,30.2959,45.4589,,,,,142.049,SB20,185.0
185.5,-52.00621,81.4119,,756.22479,27.7817,42.8183,,,,,140.07471,SB20,185.5
186.0,-51.41771,79.8667,,543.75122,25.0965,40.6819,,,,,137.6963,SB20,186.0
186.5,-51.50851,77.5584,,377.20169,23.0207,39.0711,,,,,136.4977,SB20,186.5
187.0,-52.52771,75.5437,,312.55539,21.5866,38.3032,,,,,136.5582,SB20,187.0
187.5,-53.16321,74.2212,,280.77649,21.3277,38.1558,,,,,137.18221,SB20,187.5
188.0,-52.62662,74.8588,,256.19659,22.1992,37.766,,,,,138.53371,SB20,188.0
188.5,-52.02402,75.9311,,253.8671,22.5805,36.8518,,,,,139.6189,SB20,188.5
189.0,-52.54722,77.9209,,254.6662,22.6303,36.7887,,,,,140.81531,SB20,189.0
189.5,-52.92862,80.0801,,231.8089,22.731,37.7486,,,,,142.6402,SB20,189.5
190.0,-52.77722,81.0483,,209.5125,22.8925,39.4925,,,,,145.07629,SB20,190.0
190.5,-52.70913,80.0672,,230.7048,22.1418,43.3772,,,,,147.25281,SB20,190.5
191.0,-52.83792,78.7366,,326.05551,22.101,43.7026,,,,,148.95959,SB20,191.0
191.5,-52.41492,77.3599,,500.33539,22.1233,42.9652,,,,,149.80721,SB20,191.5
192.0,-51.47382,75.9679,,1020.36359,21.5848,40.6477,,,,,150.25481,SB20,192.0
192.5,-51.16273,75.9308,,988.07593,20.7842,37.937,,,,,149.7225,SB20,192.5
193.0,-50.85963,77.7339,,460.85211,19.1142,34.5378,,,,,146.51511,SB20,193.0
193.5,-50.88333,80.0584,,299.48801,18.3519,32.0519,,,,,133.33334,SB20,193.5
194.0,-51.04293,81.0318,,223.00951,17.5297,30.2449,,,,,133.33334,SB20,194.0
194.5,-51.23394,81.3963,,155.9874,16.2015,28.2985,,,,,133.33334,SB20,194.5
195.0,-51.23574,81.4524,,130.2476,15.5034,27.3466,,,,,151.8215,SB20,195.0
195.5,-50.95774,81.0694,,136.4292,15.3416,26.2795,,,,,153.39281,SB20,195.5
196.0,-50.26353,79.7476,,175.745,15.4713,26.0106,,,,,153.1136,SB20,196.0
196.5,-49.59564,78.7511,,209.9297,15.6544,26.0908,,,,,152.7354,SB20,196.5
197.0,-49.33064,79.4017,,215.27409,16.0694,26.1279,,,,,152.6022,SB20,197.0
197.5,-49.37144,80.2637,,192.1618,16.6095,26.5176,,,,,152.6535,SB20,197.5
198.0,-49.84105,80.5242,,176.4196,17.0915,27.5048,,,,,152.83929,SB20,198.0
198.5,-50.37204,80.7545,,170.26401,17.482,29.5254,,,,,153.2285,SB20,198.5
199.0,-50.48055,82.0904,,165.30521,17.9068,30.3646,,,,,153.57249,SB20,199.0
199.5,-49.85605,83.2204,,147.2258,18.5759,30.8449,,,,,153.57809,SB20,199.5
