DEPT,SP,GR,CALI,BITSIZE,LLD,LLS,RHOB,NPHI,DT,MUDWGT,well_name,DEPTH
197.0,,77.3036,13.2707,12.25,57.9436,16.5833,2.2402,45.6694,,9.6,TL1,197.0
197.5,,76.7168,13.3745,12.25,45.4829,15.0581,2.2304,44.893,,9.6,TL1,197.5
198.0,,76.0412,13.4197,12.25,39.0697,13.6983,2.2549,44.2109,,9.6,TL1,198.0
198.5,,75.1744,13.3355,12.25,39.478,14.2578,2.2481,44.1303,,9.6,TL1,198.5
199.0,,74.4329,13.2512,12.25,45.083,16.6787,2.2394,44.2316,,9.6,TL1,199.0
199.5,,73.8208,13.1709,12.25,53.8451,21.4141,2.2326,44.8853,,9.6,TL1,199.5
200.0,,75.0435,13.1514,12.25,67.5784,18.7634,2.2345,45.7491,182.3898,9.6,TL1,200.0
200.5,,76.9336,13.2157,12.25,51.0437,16.4928,2.2428,46.3421,185.3452,9.6,TL1,200.5
201.0,,79.6451,13.3822,12.25,25.5515,10.9408,2.2632,46.9144,182.4167,9.6,TL1,201.0
201.5,,81.0895,13.7328,12.25,13.7166,6.7749,2.2789,47.481,201.01289,9.6,TL1,201.5
202.0,,81.4981,13.6563,12.25,10.7552,6.0284,2.2914,46.4026,181.7079,9.6,TL1,202.0
202.5,,81.1483,13.5217,12.25,10.758,6.444,2.3063,45.7411,172.27631,9.6,TL1,202.5
203.0,,78.9934,13.6395,12.25,13.1735,8.4342,2.2537,46.2278,169.76559,9.6,TL1,203.0
203.5,,77.1041,13.7573,12.25,19.7261,10.5078,2.2907,46.3448,162.4623,9.6,TL1,203.5
204.0,,76.022,13.8757,12.25,24.75,12.6714,2.3078,46.289,156.1129,9.6,TL1,204.0
204.5,,75.2706,13.9369,12.25,25.8657,14.5382,2.2907,46.2372,149.7635,9.6,TL1,204.5
205.0,,77.0453,13.9514,12.25,27.8593,14.7359,2.2736,46.3736,153.5675,9.6,TL1,205.0
205.5,,79.1166,14.2009,12.25,32.0725,15.6009,2.2897,46.4247,166.23621,9.6,TL1,205.5
206.0,,81.501,14.3877,12.25,34.1848,16.8278,2.2984,46.222,179.0237,9.6,TL1,206.0
206.5,,82.1683,14.245,12.25,36.6507,17.7536,2.3031,46.0055,191.8112,9.6,TL1,206.5
207.0,,81.4179,14.1895,12.25,38.843,18.4802,2.3123,46.1557,187.02589,9.6,TL1,207.0
207.5,,80.4193,14.3809,12.25,39.7051,19.4368,2.3105,45.7532,179.5699,9.6,TL1,207.5
208.0,,79.6213,14.5722,12.25,41.5655,20.8769,2.2956,45.0746,172.11391,9.6,TL1,208.0
208.5,,78.9361,14.2729,12.25,45.1133,22.3189,2.2983,46.2434,167.9677,9.6,TL1,208.5
209.0,,78.0055,14.3961,12.25,50.6318,24.0389,2.3083,47.9461,171.7283,9.6,TL1,209.0
209.5,,77.3005,14.4073,12.25,53.6009,25.6459,2.3195,48.8804,175.50211,9.6,TL1,209.5
