DEPT,SP,GR,CALI,LL8,ILM,ILD,LLD,LLS,RHOB,NPHI,DT,well_name,DEPTH
176.5,-46.28816,44.2751,12.2615,11.2264,5.3061,6.8268,,,,,81.0897,SB19,176.5
177.0,-48.88541,44.9047,12.2649,6.4573,4.357,6.0351,,,,,76.4318,SB19,177.0
177.5,-50.21156,46.3448,12.3003,5.981,4.0947,5.6637,,,,,71.7739,SB19,177.5
178.0,-50.3139,48.9099,12.2983,5.9505,3.7327,5.3948,,,,,68.008,SB19,178.0
178.5,-50.16193,51.0223,12.2986,6.2935,3.4678,5.1386,,,,,69.8467,SB19,178.5
179.0,-50.75578,52.7429,12.3108,6.675,3.4492,4.9956,,,,,74.1225,SB19,179.0
179.5,-51.98283,54.3073,12.3149,6.9243,3.3784,5.0192,,,,,83.5948,SB19,179.5
180.0,-53.61947,56.5549,12.3449,6.6808,3.4579,5.276,,,,,97.5468,SB19,180.0
180.5,-54.85701,59.3978,12.3664,6.1211,3.5238,5.6001,,,,,123.5696,SB19,180.5
181.0,-55.11665,61.8974,12.3333,6.5766,3.8519,5.9972,,,,,144.726,SB19,181.0
181.5,-54.52319,64.7406,12.2694,7.3415,4.1955,6.4441,,,,,155.759,SB19,181.5
182.0,-53.30694,67.6146,12.2056,9.3127,4.4739,6.9487,,,,,161.4967,SB19,182.0
182.5,-52.45798,70.3323,12.1418,10.882,4.5539,7.6589,,,,,163.7845,SB19,182.5
183.0,-51.62152,73.1026,12.1292,9.9629,4.6428,8.4416,,,,,164.748,SB19,183.0
183.5,-50.56087,75.6017,12.2048,8.8708,4.7714,9.3044,,,,,167.6143,SB19,183.5
184.0,-49.91751,77.0923,12.2293,9.207,4.8417,9.8967,,,,,165.04601,SB19,184.0
184.5,-48.88325,77.1346,12.2374,10.289,5.1195,10.2128,,,,,163.1857,SB19,184.5
185.0,-47.68969,75.8307,12.2909,11.2701,5.2249,10.1549,,,,,162.0146,SB19,185.0
185.5,-46.56523,74.9293,12.3551,11.8013,5.3324,10.0974,,,,,161.80589,SB19,185.5
186.0,-45.67288,76.1279,12.3939,12.2724,5.4779,10.0418,,,,,162.58611,SB19,186.0
186.5,-44.79742,79.0515,12.4364,13.2278,5.5289,10.057,,,,,163.6219,SB19,186.5
187.0,-44.41036,81.8013,12.3866,13.9646,5.497,10.1353,,,,,164.571,SB19,187.0
187.5,-45.09151,84.1095,12.3981,13.5933,5.4082,10.2378,,,,,164.40289,SB19,187.5
188.0,-46.53054,85.9039,12.4163,12.8156,5.3275,10.3097,,,,,163.5743,SB19,188.0
188.5,-48.08829,87.2267,12.4026,12.3795,5.0973,10.1288,,,,,162.88879,SB19,188.5
189.0,-49.47514,88.4502,12.4135,12.4976,5.0939,9.8998,,,,,162.01489,SB19,189.0
189.5,-50.27797,89.7055,12.3948,12.8108,5.0869,9.5122,,,,,160.7955,SB19,189.5
190.0,-50.32122,90.1716,12.3988,13.4371,5.0945,9.1594,,,,,159.5573,SB19,190.0
190.5,-48.97216,90.5116,12.4074,14.1727,5.1007,8.8817,,,,,159.0787,SB19,190.5
191.0,-47.55391,90.6418,12.4538,14.5954,5.0137,8.8224,,,,,159.5755,SB19,191.0
191.5,-46.73484,90.4248,12.5415,14.5908,4.9857,8.818,,,,,160.87711,SB19,191.5
192.0,-47.18849,89.2487,12.5306,14.4253,4.9309,8.8182,,,,,163.181,SB19,192.0
192.5,-47.97773,87.7327,12.4953,14.494,4.9818,8.864,,,,,165.34309,SB19,192.5
193.0,-47.93438,86.9919,12.4981,14.7845,5.0505,8.9823,,,,,166.80769,SB19,193.0
193.5,-47.75642,86.7407,12.4393,15.098,5.0897,9.1754,,,,,167.67751,SB19,193.5
194.0,-47.23736,86.2677,12.4066,15.2559,5.1851,9.3727,,,,,167.7621,SB19,194.0
194.5,-46.6049,85.6557,12.3967,15.1823,5.3442,9.7208,,,,,167.6946,SB19,194.5
195.0,-46.04245,85.8514,12.4006,14.9969,5.7141,10.2598,,,,,167.9288,SB19,195.0
195.5,-45.62479,86.9563,12.3977,15.0476,5.9157,10.7031,,,,,168.48039,SB19,195.5
196.0,-45.55963,88.2637,12.4327,15.3672,6.1038,10.8949,,,,,168.9422,SB19,196.0
196.5,-45.56627,88.996,12.4893,15.7166,6.41,11.1095,,,,,168.8252,SB19,196.5
197.0,-45.33261,89.4896,12.5895,15.6762,6.4573,11.457,,,,,168.311,SB19,197.0
197.5,-45.42556,89.8075,12.6025,14.8352,6.452,11.7152,,,,,167.6093,SB19,197.5
198.0,-45.3494,89.1246,12.6134,13.9294,6.6149,12.0687,,,,,166.30231,SB19,198.0
198.5,-44.96755,87.115,12.5994,14.5665,6.7839,12.2156,,,,,164.959,SB19,198.5
199.0,-44.85389,85.6552,12.6034,15.1227,6.8768,12.3205,,,,,164.1254,SB19,199.0
199.5,-45.08023,85.505,12.6176,15.0613,6.9455,12.4278,,,,,163.5051,SB19,199.5
200.0,-46.01007,86.8811,12.5877,14.0855,7.0126,12.3216,,,,,162.8992,SB19,200.0
200.5,-47.06002,88.471,12.5632,13.8992,7.0651,12.1463,,,,,162.7959,SB19,200.5
201.0,-47.49016,89.9546,12.592,14.3069,6.8749,12.0544,,,,,162.9017,SB19,201.0
201.5,-48.2307,90.7107,12.6307,14.1478,6.8273,11.9639,,,,,162.8662,SB19,201.5
202.0,-48.76825,91.4132,12.6667,13.9246,6.7712,12.1563,,,,,162.7527,SB19,202.0
202.5,-49.01669,92.3367,12.6905,14.5323,6.8391,12.2477,,,,,163.0881,SB19,202.5
203.0,-49.25273,92.5986,12.688,15.6268,6.8868,12.2698,,,,,164.2612,SB19,203.0
203.5,-49.37848,92.7105,12.71,16.2579,7.0409,12.6701,,,,,165.49989,SB19,203.5
204.0,-49.52701,92.7668,12.7587,16.4976,7.2451,12.7833,,,,,167.41811,SB19,204.0
204.5,-49.78436,92.8372,12.794,16.789,7.4662,13.4393,,,,,168.588,SB19,204.5
205.0,-49.9937,93.0937,12.824,17.2867,7.7017,14.0853,,,,,169.0303,SB19,205.0
205.5,-49.62804,93.2913,12.8576,18.081,7.8731,14.7623,,,,,169.6571,SB19,205.5
206.0,-49.13438,92.4833,12.9019,18.6897,8.0861,15.4679,,,,,169.8607,SB19,206.0
206.5,-48.65043,91.2011,12.9604,19.2162,8.2368,15.9386,,,,,167.8569,SB19,206.5
207.0,-48.77417,89.8642,13.0982,19.3588,8.4557,17.0264,,,,,168.5658,SB19,207.0
207.5,-49.50711,89.6472,13.2658,19.6493,8.7695,17.4968,,,,,169.5304,SB19,207.5
208.0,-49.59066,90.9548,13.3204,20.4231,8.8745,17.6315,,,,,168.1613,SB19,208.0
208.5,-49.5718,92.6125,13.2826,21.3859,8.9547,17.6454,,,,,166.3875,SB19,208.5
209.0,-49.70374,92.2276,13.2854,21.9037,8.9271,17.8145,,,,,164.6138,SB19,209.0
209.5,-50.10178,91.1895,13.1897,21.312,8.773,17.9764,,,,,162.84,SB19,209.5
210.0,-50.08833,90.5862,13.2073,20.7756,8.6579,17.7018,,,,,164.2809,SB19,210.0
210.5,-50.47337,90.273,13.2178,20.5013,8.5443,17.2745,,,,,166.1991,SB19,210.5
211.0,-51.11201,90.6129,13.2066,20.5764,8.4323,16.8528,,,,,167.62669,SB19,211.0
211.5,-52.18575,91.448,13.2178,20.8707,8.3217,16.4296,,,,,167.9381,SB19,211.5
212.0,-53.5076,92.2751,13.2659,21.0134,8.2228,16.017,,,,,167.4942,SB19,212.0
212.5,-55.55884,92.8026,13.2786,19.8576,8.0563,15.875,,,,,168.9729,SB19,212.5
213.0,-57.18239,93.2188,13.2482,19.0586,8.0997,16.2961,,,,,170.8269,SB19,213.0
